Marque,Modèle
YAMAHA,50 PW (PIWI) (<= 50 CC)
YAMAHA,Aerox 50 / Nacked (<= 50 CC)
YAMAHA,BWS 50 / 12P / NAKED / NG / SA231 (<= 50 CC)
YAMAHA,DT 50 / supermotard (<= 50 CC)
YAMAHA,Giggle (<= 50 CC)
YAMAHA,Jogg R (<= 50 CC)
YAMAHA,MATE/ NEW MATE/ V50 (<= 50 CC)
YAMAHA,NEOS 50 / NEOS 50 4T / 4T UBS/ VINO 50/ YN50F (<= 50 CC)
YAMAHA,Slider 50 Naked (<= 50 CC)
YAMAHA,TZR 50 (<= 50 CC)
YAMAHA,1000 MT-10 /SP (> 80 CC)
YAMAHA,1000 YZF R1 (> 80 CC)
YAMAHA,1000 YZF R1 M (> 80 CC)
YAMAHA,110 TT-R (> 80 CC)
YAMAHA,1100 XVS DRAGSTAR (> 80 CC)
YAMAHA,1200 XTZ Super Tenere (> 80 CC)
YAMAHA,125 D’Elight (> 80 CC)
YAMAHA,125 MT (> 80 CC)
YAMAHA,125 NMAX/ GPD125-A (> 80 CC)
YAMAHA,125 TRICITY / MWS (> 80 CC)
YAMAHA,125 XMAX TECH MAX/ YP 125 R XMAX/ YP 125 RA SP (> 80 CC)
YAMAHA,125 X-MAX/ XMAX IRON MAX (> 80 CC)
YAMAHA,125 YBR (> 80 CC)
YAMAHA,125 YS/ XENTER (> 80 CC)
YAMAHA,125 YZ (> 80 CC)
YAMAHA,125 YZF R (16) (> 80 CC)
YAMAHA,1300 FJR / A /AE/AS/GT (> 80 CC)
YAMAHA,1900 XV19 STAR VENTURE (> 80 CC)
YAMAHA,250 XT (> 80 CC)
YAMAHA,250 YZ/ YZ 250 F/FX/X/WR 250 F (> 80 CC)
YAMAHA,300 MT-03 (> 80 CC)
YAMAHA,300 TRICITY/ MWD300 (> 80 CC)
YAMAHA,300 X-MAX TECH MAX/ IRON MAX/ CZD300-A SP (> 80 CC)
YAMAHA,300 X-MAX/250/ CZD300-A (> 80 CC)
YAMAHA,300 YZF R3 (> 80 CC)
YAMAHA,400 X-Max (> 80 CC)
YAMAHA,450 WR (> 80 CC)
YAMAHA,450 YZ/450 YZ F/FX (> 80 CC)
YAMAHA,530 T-MAX 500 DX/T-MAX/XP (> 80 CC)
YAMAHA,560 TMAX/TECH MAX/XP (> 80 CC)
YAMAHA,600 YZF R6 R /R6 (> 80 CC)
YAMAHA,660 XTR/XTX (> 80 CC)
YAMAHA,700 MT-07/ MTN 690/ MT-07 PURE (> 80 CC)
YAMAHA,700 R7 / YZF690 (> 80 CC)
YAMAHA,700 TENERE EXPLORE (> 80 CC)
YAMAHA,700 TENERE RALLY (> 80 CC)
YAMAHA,700 TENERE WORLD RAID (> 80 CC)
YAMAHA,700 TENERE WORLD RALLY (> 80 CC)
YAMAHA,700 TRACER 7 / MTT 690/ TRACER 7 GT (> 80 CC)
YAMAHA,700 XSR (> 80 CC)
YAMAHA,700 XTZ/TENÉRÉ (> 80 CC)
YAMAHA,80 PW (PIWI) (> 80 CC)
YAMAHA,85 YZ (> 80 CC)
YAMAHA,850 FJ09 (> 80 CC)
YAMAHA,850 MXT/NIKEN (> 80 CC)
YAMAHA,850 MXT/NIKEN GT (> 80 CC)
YAMAHA,850/900 MT-09 DX/SP (> 80 CC)
YAMAHA,850/900 MT-09/MTN 890/FZ-09/MTN 850/MT-09 ABS (> 80 CC)
YAMAHA,900 MT 09 SP /MTN890D/ MTN850D (> 80 CC)
YAMAHA,900 MT-09 TRACER GT/ MTT09 GT/ MTT890D/ MTT850D (> 80 CC)
YAMAHA,900 Niken/Niken GT (> 80 CC)
YAMAHA,900 TRACER 9 GT PLUS (> 80 CC)
YAMAHA,900 TRACER 9/MT-09 TRACER/ MTT09/ MTT850/ MTT890 (> 80 CC)
YAMAHA,900 XSR (> 80 CC)
YAMAHA,950 XV R /Racer/950 (> 80 CC)
YAMAHA,950 XVS / TOUR CLASSIC / BOLT R-SPEC (> 80 CC)
YAMAHA,NMAX155 (> 80 CC)
YAMAHA,XTZ 1200 Z / ZE (> 80 CC)
YAMAHA,XTZ 1200 ZE World/Raid (> 80 CC)
YAMAHA,Z800/ZR800 (> 80 CC)
