Titre,Kilométrage (km),Lieu,Lien,Date complète (jour/mois/année),Prix (DH),Valeur taxable,Prix Maroc,Marge brute,Rentabilité %
yamaha MT 09,15550.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/qczd36g.html,2022-05-15,86934,23938,82803,-28069,-25.32
yamaha MT 09,502.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/xsqtc27.html,2025-05-29,109308,39897,164117,14912,9.99
yamaha MT 09,67425.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/t65gn82.html,2021-05-22,72358,19949,64546,-27761,-30.07
yamaha MT 09,10.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/oliavws.html,2024-03-27,109308,31918,126920,-14306,-10.13
yamaha MT 09,10.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/savsj04.html,2024-03-27,129089,31918,144697,-16310,-10.13
yamaha MT 09,6420.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/62kdjmc.html,2022-02-27,96814,23938,90265,-30487,-25.25
yamaha MT 09,5000.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/dfcl7sz.html,2023-05-15,93701,27929,96283,-25347,-20.84
yamaha MT 09,5500.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09-2024/hc3uv9c.html,2024-05-29,114524,39897,141927,-12494,-8.09
yamaha MT 09,9300.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/pgf3642.html,2023-05-15,114524,27929,112718,-29735,-20.87
yamaha MT 09,4900.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/62swjgc.html,2023-01-23,110349,27929,109463,-28815,-20.84
yamaha MT 09,500.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/b1equlp.html,2024-05-29,93691,39897,122841,-10747,-8.04
yamaha MT 09,15550.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/qczd36g.html,2022-05-15,86934,23938,82803,-28069,-25.32
