Marque,Modèle
AGM,EAGLE/BRASH 50 (<= 50 CC)
AJP,PR3 240 (> 80 CC)
AJP,PR3 Enduro 125 (> 80 CC)
AJP,PR4 240 (> 80 CC)
AJP,PR4 Enduro 125 (> 80 CC)
AJP,PR5 250 (> 80 CC)
AJP,PR7 650/600 (> 80 CC)
AJP,SPR 240 ENDURO (> 80 CC)
AJP,SPR 250 ENDURO (> 80 CC)
AJS,MODENA 125 (> 80 CC)
APOLLO,125 MINICROSS RFZ ENDURO (> 80 CC)
APRILIA,Mojito / Habana 50 (<= 50 CC)
APRILIA,RS / RS4 (<= 50 CC)
APRILIA,RX 50 (<= 50 CC)
APRILIA,Scarabeo 50 4T (<= 50 CC)
APRILIA,Sport City One 50 14p / Street (<= 50 CC)
APRILIA,SR 50 R (<= 50 CC)
APRILIA,SR 50 Street (<= 50 CC)
APRILIA,SR Motard 50 (<= 50 CC)
APRILIA,SX 50 (<= 50 CC)
APRILIA,SXR 50 (<= 50 CC)
APRILIA,1000 RSV 4 RF / RR (> 80 CC)
APRILIA,1000 S/ XR (> 80 CC)
APRILIA,1100 RSV4 Factory (> 80 CC)
APRILIA,1100 V4 Tuono Factory/RR (> 80 CC)
APRILIA,125 RS /Replica SBK/RS4 (> 80 CC)
APRILIA,125 RS /RX / SX (> 80 CC)
APRILIA,125 SR GT/ SPORT (> 80 CC)
APRILIA,125 SR Max ie (> 80 CC)
APRILIA,125 SR Motard (> 80 CC)
APRILIA,125 SR Tuono (> 80 CC)
APRILIA,660 RS (> 80 CC)
APRILIA,660 TUAREG (> 80 CC)
APRILIA,660 TUONO (> 80 CC)
APRILIA,750 Dorsoduro (> 80 CC)
APRILIA,750 SHIVER/GT (> 80 CC)
APRILIA,850 ie SRV ATC (> 80 CC)
APRILIA,900 Dorsoduro (> 80 CC)
APRILIA,900 Shiver (> 80 CC)
APRILIA,RS4 /Replica 125 (> 80 CC)
AUSTIN,125 GTR (> 80 CC)
AVINTO,Collector 1000 (> 80 CC)
AVINTO,Cult 1000 (> 80 CC)
AVINTO,Pearl 1000 (> 80 CC)
AVINTO,Vintage 1000 (> 80 CC)
BEELINE,49CC TAPO/RS (<= 50 CC)
BENELLI,49X (<= 50 CC)
BENELLI,Pepe 50 (<= 50 CC)
BENELLI,1130 Tre K (> 80 CC)
BENELLI,125 LEONCINO/SR (> 80 CC)
BENELLI,125 TNT (> 80 CC)
BENELLI,180S (> 80 CC)
BENELLI,251 BN (> 80 CC)
BENELLI,302 BN (> 80 CC)
BENELLI,500 Leoncino (> 80 CC)
BENELLI,502C/ CRUISER (> 80 CC)
BENELLI,800 LEONCINO / TRAIL (> 80 CC)
BENELLI,BN 125 (> 80 CC)
BENELLI,BN 502 C 500cc (> 80 CC)
BENELLI,IMPERIALE 400 (> 80 CC)
BENELLI,TRK 502 /X 500CC (> 80 CC)
BENELLI,TRK 702/ X 700CC (> 80 CC)
BERINI,NAPOLI (<= 50 CC)
BETA,ARK LC 50 / Eikon (<= 50 CC)
BETA,Enduro RR 50 / Supermotard (<= 50 CC)
BETA,125 Alp (> 80 CC)
BETA,125 RR LC SM /End (> 80 CC)
BETA,125 SPM/Motard/SM (> 80 CC)
BETA,200 ALP (> 80 CC)
BETA,200 Urban (> 80 CC)
BETA,250 RR (> 80 CC)
BETA,300 CrossTrainer (> 80 CC)
BETA,300 RR EFI Racing (> 80 CC)
BETA,350 ALP 4.0/Motard (> 80 CC)
BETA,350 RR EFI Racing (> 80 CC)
BETA,RE 125cc (> 80 CC)
BLACKPEARL,125 AM BLACKPEARL (> 80 CC)
BLUROC,125 BULLIT/ BULLIT GS (> 80 CC)
BMW,1800 R18 (> 80 CC)
BMW,1800 R18 TRANSCONTINENTAL (> 80 CC)
BMW,C 400 GT (> 80 CC)
BMW,C 400 X (> 80 CC)
BMW,C 650 GT /SPORT (> 80 CC)
BMW,F 750 GS (> 80 CC)
BMW,F 800 GS /Adventure (> 80 CC)
BMW,F 800 GT (> 80 CC)
BMW,F 800 R (> 80 CC)
BMW,F 850 GS/ADVENTURE (> 80 CC)
BMW,F900 GS / ADVENTURE (> 80 CC)
BMW,F900 R/XR (> 80 CC)
BMW,G 310 GS (> 80 CC)
BMW,G 310 R (> 80 CC)
BMW,HP4 Race 1000 (> 80 CC)
BMW,K1600 B/ GT/GTL/GRAND AMERICA (> 80 CC)
BMW,R 1200 R NINE T/SCRAMBLER/PURE/RACER (> 80 CC)
BMW,R 1250 GS EXCLUSIVE (> 80 CC)
BMW,R1200 GS (> 80 CC)
BMW,R1200 R/RS (> 80 CC)
BMW,R1200 RT (> 80 CC)
BMW,R1250 GS (> 80 CC)
BMW,R1250 GS TROPHY/ ADVENTURE (> 80 CC)
BMW,R1250 R/RS (> 80 CC)
BMW,R1250 RT (> 80 CC)
BMW,R1300 GS (> 80 CC)
BMW,S1000 R (> 80 CC)
BMW,S1000 RR/ S1000 RR M SPORT (> 80 CC)
BMW,S1000 XR (> 80 CC)
BRIXTON,125 CROSSFIRE XS (> 80 CC)
BRIXTON,BX 125 EFI /R/X (> 80 CC)
BRIXTON,BX 125 SK8 /Felsberg /Haycroft (> 80 CC)
BRIXTON,Glanville 250 X (> 80 CC)
BRIXTON,Saxby 250 (> 80 CC)
BTC- DIRT BIKE,50 BTC CITY (<= 50 CC)
BTC- DIRT BIKE,50 OLD CLASSIC (<= 50 CC)
BTC- DIRT BIKE,110CC T02 (> 80 CC)
BTC- DIRT BIKE,GUNSHOT 250 MX-3 (> 80 CC)
BULLIT,125 HERITAGE (> 80 CC)
BULLIT,Hero 125 EFI (> 80 CC)
BULLIT,Hunt S 125 EFI (> 80 CC)
BULLIT,Spirit 125 EFI (> 80 CC)
CAN-AM,900 RYKER SPORT (> 80 CC)
CAN-AM,Ryker 600 (> 80 CC)
CAN-AM,Ryker 900 (> 80 CC)
CAN-AM,RYKER 900 RALLY (> 80 CC)
CAN-AM,Spyder F3 Limited 1330cc (> 80 CC)
CAN-AM,Spyder F3 SE6/S/T 1330 (> 80 CC)
CAN-AM,Spyder RT LTD SE6/ RT-S 1330cc (> 80 CC)
CF MOTO,300 NK (> 80 CC)
CF MOTO,400 GT (> 80 CC)
CF MOTO,400 NK (> 80 CC)
CF MOTO,450 CL-C (> 80 CC)
CF MOTO,450 SR/MT (> 80 CC)
CF MOTO,450 SR-S (> 80 CC)
CF MOTO,650 MT (> 80 CC)
CF MOTO,650 NK (> 80 CC)
CF MOTO,675 SR-R (> 80 CC)
CF MOTO,700 CL-X HERITAGE (> 80 CC)
CF MOTO,700 MT (> 80 CC)
CF MOTO,800 MT /SPORT/ TOURING/ EXPLORE (> 80 CC)
CHANGJIANG,650 DYNASTY/ PEKIN EXPRESS (> 80 CC)
CPI,Ara;n GP 50 (<= 50 CC)
CPI,Bravo (<= 50 CC)
CPI,Enduro 50 (<= 50 CC)
CPI,GTR 50 (<= 50 CC)
CPI,Oliver (<= 50 CC)
CPI,Supermotard 50 (<= 50 CC)
CYCLONE,Arizona 125 (> 80 CC)
CYCLONE,RX1 125 (> 80 CC)
CYCLONE,RX1 Grand Raid 125 (> 80 CC)
CYCLONE,RX3S 400 (> 80 CC)
CYCLONE,Z 2 125 (> 80 CC)
DAELIM,A-four / Bonita / S-Five (<= 50 CC)
DAELIM,Cordi (<= 50 CC)
DAELIM,S4 (<= 50 CC)
DAELIM,125 Daystar /Daystar FI (> 80 CC)
DAELIM,125 DELFINO/SU (> 80 CC)
DAELIM,125 Roadwin (> 80 CC)
DAELIM,125 S3 Touring (> 80 CC)
DAELIM,125 Steezer /S (> 80 CC)
DAELIM,250 Daystar/Road sport (> 80 CC)
DERBI,Atlantis 2T 50 / Boulvard 50 (<= 50 CC)
DERBI,GPR 50 / Nude (<= 50 CC)
DERBI,Senda DRD Pro R / Pro SM (<= 50 CC)
DERBI,Senda DRD X- treme SM / R / SM Racing (<= 50 CC)
DERBI,125 Senda DRD R/SM (> 80 CC)
DUCATI,1158 DIAVEL V4/ DIAVEL V4 THRILLING (> 80 CC)
DUCATI,1200 Diavel Carbone/X/XS/DARK (> 80 CC)
DUCATI,1200 Monster /R/S (> 80 CC)
DUCATI,1200 Multistrada Enduro (> 80 CC)
DUCATI,1260 DIAVEL LAMBORGHINI (> 80 CC)
DUCATI,1260MULTISTRADA/S/TOURING/GRANDTOUR/DIAVEL/XDIAVEL (> 80 CC)
DUCATI,1299 Panigale R/S (> 80 CC)
DUCATI,400 Scrambler Sixty2 (> 80 CC)
DUCATI,797 Monster/796 (> 80 CC)
DUCATI,800 Fulltrotlle/Urban/icon (> 80 CC)
DUCATI,800 Scrambler Café racer (> 80 CC)
DUCATI,800 SCRAMBLER ICON (> 80 CC)
DUCATI,939 Hypermotard (> 80 CC)
DUCATI,939 Hypermotard SP (> 80 CC)
DUCATI,939 SuperSport/S (> 80 CC)
DUCATI,950 DESERT X RALLY (> 80 CC)
DUCATI,950 DESERT X/ DESERT X MATT STAR (> 80 CC)
DUCATI,950 Hypermotard SP (> 80 CC)
DUCATI,950 Multistrada S (> 80 CC)
DUCATI,950 Multistrada/TOURING (> 80 CC)
DUCATI,959 Panigale/ 955 (> 80 CC)
DUCATI,Monster 1200 /S (> 80 CC)
DUCATI,Monster 821 /DARK 820cc (> 80 CC)
DUCATI,Multistrada 1200 Enduro/PRO (> 80 CC)
DUCATI,MULTISTRADA V4S 1160 (> 80 CC)
DUCATI,Panigale V4 1100cc (> 80 CC)
DUCATI,Panigale V4 R 1100cc (> 80 CC)
DUCATI,Panigale V4 S 1100cc (> 80 CC)
DUCATI,Scrambler 1100/S/SPORT (> 80 CC)
DUCATI,Scrambler Dark 800 (> 80 CC)
